mdate;Rf;MktRf;SMB;HML
198203;0,00792;0,01594;0,00891;0,02141
198204;0,0075;-0,01086;0,00342;-0,00696
198205;0,00739;-0,01829;-0,00056;-0,02369
198206;0,00731;-0,02141;-0,00926;-0,02147
198207;0,00748;-0,00224;-0,01322;-0,01183
198208;0,00721;-0,01508;-0,00997;-0,00988
198209;0,00647;0,04569;-0,00416;-0,01163
198210;0,00612;-0,01207;0,02341;-0,04071
198211;0,00572;0,02007;0,00177;-0,02192
198212;0,00549;0,0566;-0,04469;0,0072
198301;0,00483;-0,01288;0,02428;0,00555
198302;0,00457;0,06453;-0,01857;0,02914
198303;0,00449;0,11132;-0,01442;0,03862
198304;0,00414;0,05951;-0,00158;-0,00164
198305;0,00427;-0,05295;0,0176;-0,01281
198306;0,00428;0,04338;-0,01558;-0,00675
198307;0,00437;0,02826;-0,01834;-0,00582
198308;0,00444;-0,05826;0,012;0,00523
198309;0,00459;0,01908;-0,03043;0,00728
198310;0,00472;0,06779;-0,0523;-0,02459
198311;0,00467;0,01003;-0,05512;-0,04602
198312;0,00529;0,00503;0,0044;0,01181
198401;0,00486;0,03446;0,05107;0,05608
198402;0,00453;-0,04667;0,03273;-0,00388
198403;0,0047;-0,00247;0,00337;0,01136
198404;0,00458;0,00567;-0,00804;-0,01745
198405;0,00474;-0,03513;0,02623;-0,00791
198406;0,00464;0,02462;0,02177;-0,0332
198407;0,00475;-0,0599;0,01434;-0,03635
198408;0,00471;0,04929;-0,01612;-0,00624
198409;0,00462;0,06136;-0,02785;0,00669
198410;0,00476;0,01034;0,01341;0,01823
198411;0,00456;0,00079;-0,01425;0,01674
198412;0,0048;0,01434;-0,01363;-0,01238
198501;0,00473;0,03717;0,00356;-0,02281
198502;0,00458;0,00773;-0,01583;0,02886
198503;0,00503;0,00975;0,00575;0,02023
198504;0,00471;0,03116;0,00441;0,02383
198505;0,00469;0,08199;-0,06684;0,02506
198506;0,00452;0,0601;-0,0272;-0,00368
198507;0,00432;-0,04194;0,03016;-0,02528
198508;0,00391;0,07958;-0,04269;0,01939
198509;0,0038;0,05809;-0,00213;0,05064
198510;0,00388;0,12289;-0,03088;0,01436
198511;0,00378;-0,02217;0,03417;-0,00321
198512;0,00397;0,11083;-0,06916;0,02289
198601;0,00385;-0,00051;-0,01592;-0,01566
198602;0,0035;-0,02211;0,03066;0,05586
198603;0,0038;0,08262;-0,02656;0,02349
198604;0,0037;0,04912;0,04428;-0,02312
198605;0,00378;-0,09234;0,00124;-0,03277
198606;0,00367;-0,01644;-0,01921;-0,00929
198607;0,00376;-0,05026;0,03261;-0,01068
198608;0,00374;0,13841;-0,0658;-0,00232
198609;0,00367;-0,05653;0,02215;-0,03237
198610;0,00374;0,00575;-0,00408;0,02801
198611;0,00371;0,02889;-0,00978;-0,01617
198612;0,00408;-0,01503;0,00073;-0,00756
198701;0,00367;-0,11296;0,04661;0,01252
198702;0,00306;-0,05695;0,01669;0,00937
198703;0,00327;0,03026;-0,02762;-0,01373
198704;0,00316;0,00016;-0,01312;-0,02177
198705;0,00308;-0,01582;-0,00615;0,0243
198706;0,00299;0,06286;-0,03835;-0,01163
198707;0,00312;0,06302;-0,01771;-0,00657
198708;0,00321;0,0114;0,03592;0,00906
198709;0,00323;-0,02854;0,02103;0,01054
198710;0,00328;-0,21971;0,04181;0,00114
198711;0,00295;-0,13066;0,06129;0,09093
198712;0,00301;-0,01511;0,00751;-0,01051
198801;0,00276;-0,06789;0,02024;-0,0225
198802;0,00264;0,14459;-0,04123;-0,0163
198803;0,00278;-0,00202;0,0472;0,02196
198804;0,00271;-0,01266;0,052;-0,0028
198805;0,00281;0,01445;-0,01079;0,03371
198806;0,00301;0,04565;-0,00434;0,02227
198807;0,00382;0,02658;-0,01482;-0,01103
198808;0,00415;-0,00206;0,00976;0,03635
198809;0,00395;0,0589;-0,01933;0,01945
198810;0,00399;0,03289;-0,00333;0,00334
198811;0,00383;-0,03315;0,0165;0,01252
198812;0,00436;0,03908;-0,00051;0,05986
198901;0,00452;0,01506;0,09722;0,02442
198902;0,00468;-0,02489;0,00828;-0,01915
198903;0,00511;0,0146;0,0074;0,03731
198904;0,00493;0,0339;0,02187;0,0511
198905;0,00546;0,01524;0,02311;0,03955
198906;0,00539;0,05171;-0,00675;-0,0026
198907;0,00565;0,0407;-0,01328;-0,03813
198908;0,00566;0,03136;-0,0053;0,00045
198909;0,00576;0,00371;0,06595;-0,00655
198910;0,00642;-0,07258;0,02276;-0,02167
198911;0,00629;0,04863;0,00374;0,06224
198912;0,00642;0,10264;-0,09595;0,01885
199001;0,0065;0,01786;-0,00843;0,0193
199002;0,00603;-0,01387;0,0093;0,02065
199003;0,00658;0,08674;0,00218;0,02969
199004;0,00636;-0,07285;0,04183;0,01678
199005;0,00655;0,0117;0,02562;-0,00158
199006;0,00639;0,02293;0,00583;-0,00986
199007;0,0065;0,03356;0,03152;-0,05843
199008;0,0066;-0,15302;0,04965;-0,03538
199009;0,0066;-0,1729;0,04476;-0,03189
199010;0,00661;0,07637;-0,04379;-0,03221
199011;0,00672;-0,00065;-0,00953;-0,00848
199012;0,00722;-0,03574;0,02674;0,02349
199101;0,00715;-0,0117;-0,04345;0,04173
199102;0,00711;0,08068;-0,0091;0,03295
199103;0,00715;-0,02145;0,02702;-0,00541
199104;0,00716;0,03449;-0,04501;0,0211
199105;0,0071;0,04126;-0,0383;0,00665
199106;0,00711;-0,04336;0,03164;-0,00094
199107;0,00715;-0,01519;-0,01511;0,0209
199108;0,00726;0,00574;-0,01308;0,00965
